Date,Description,Type,Street
2/2/20 - 9:20 pm,Person shot on Armandine Street in Dorchester,Shooting,126 Armandine St.
2/2/20 - 8:47 pm,"One arrested, two sought for mini-crime wave: Driver carjacked, stabbed, pistol whipped; gun fired, arrest after foot chase, police say",Armed carjacking,Arbutus St. and Irma St.
1/23/20 - 10:30 pm,Seven arrested after several shots fired into Harbor Point apartment,Gunfire,36 Harbor Point Blvd.
1/22/20 - 9:47 am,"Teens were hanging out in the back of the Codman Square post office with loaded gun, stolen Bluebike, police say",Illegal gun possession,554 Washington St.
1/20/20 - 8:00 pm,Dorchester jewelry store robbed at hammerpoint,Armed robbery,1391 Dorchester Ave.
1/18/20 - 3:30 am,Gun battle erupts on Dorchester street; no reports of injuries,Gunfire,250 Washington St.
1/14/20 - 11:04 pm,Two young teens charged with smashing guy in head with replica gun in robbery near South Bay,Armed robbery,Boston St. and Howell St.
1/12/20 - 7:33 am,Police say man was driving around Dorchester with a loaded gun,Illegal gun possession,195 Columbia Rd.
1/11/20 - 8:25 pm,Two men shot on Washington Street in Grove Hall; one dead,Murder,Washington St and Normandy St.
1/1/20 - 5:50 pm,Police hunt two for attack on MBTA worker at Fields Corner,Assault and battery with a dangerous weapon,50 Freeman St.
12/31/19 - 10:50 am,Police say couple had enough room left in their diaper bag for a gun loaded with 17 rounds,Illegal gun possession,729 Dudley St.
12/29/19 - 10:45 pm,Man stabbed in the stomach in Fields Corner,Stabbing,1593 Dorchester Ave.
12/27/19 - 8:03 pm,"Four Uber passengers tried to rob driver, but then he spotted a cruiser, police say",Attemped unarmed robbery,1150 Blue Hill Ave.
12/26/19 - 9:55 pm,Man shot in the stomach on Intervale Street in Dorchester,Shooting,108 Intervale St.
12/24/19 - 8:35 pm,Man stabbed on Southern Avenue in Dorchester,Stabbing,Southern Ave. and Darlington St.
12/22/19 - 6:45 pm,Two shot on Washington Street in Codman Square,Shooting,544 Washington St.
12/17/19 - 4:15 pm,Man in car found shot at Callender and Ashton streets in Dorchester,Shooting,Callender St. and Ashton St.
12/5/19 - 4:00 pm,"Man shot on Morton Street in Mattapan, found on Norfolk Street in Dorchester",Shooting,900 Morton St.
11/26/19 - 8:30 pm,Woman stabbed on Blue Hill Avenue near Woodrow Avenue,Stabbing,1117 Blue Hill Ave.
11/21/19 - 9:20 pm,Man stabbed on Dudley Street in Uphams Corner,Stabbing,735 Dudley St.
10/31/19 - 9:30 pm,Man shot in Franklin Field,Shooting,77 Ames St.
10/18/19 - 1:15 am,Gallivan Boulevard CVS robbed at gunpoint,Armed robbery,703 Gallivan Blvd.
10/16/19 - 1:05 am,Man charged with firing shots into the air in Uphams Corner,Gunfire,12 Arion St.
10/14/19 - 7:59 pm,Police: Dorchester man gets into argument while holding a rifle loaded with 23 rounds,Illegal gun possession,381 Centre St.
10/9/19 - 5:00 pm,"Pack of men stomp, rob disabled man at Ashmont T station, police say",Assault and battery with a dangerous weapon,Ashmont MBTA Station
9/29/19 - 1:50 am,"Man lying in the middle of a Dorchester street arrested, not for obstructing traffic, but for the loaded gun police say was sticking out of his pocket",Illegal gun possession,22 Floyd St.
9/17/19 - 10:30 pm,Man shot on Creston Street in Grove Hall,Shooting,34 Creston St.
9/17/19 - 5:09 pm,"Man in South Boston car crash pulled gun on other driver, but stowed it in his fanny pack before officers arrived, police say",Assault with a dangerous weapon,220 Dorchester Ave.
9/16/19 - 11:46 pm,Man found fatally shot in lobby of Morrissey Boulevard hotel,Murder,800 Morrissey Blvd.
8/25/19 - 10:00 pm,Man stabbed at party on Westcott Street in Dorchester,Stabbing,3 Westcott St.
8/24/19 - 10:00 pm,Man shot on Ronald Street in Dorchester,Shooting,Columbia Rd. and Washington St.
8/24/19 - 3:40 am,"Bloody 12 hours around Franklin Field and Harambee Park: Four separate shootings, one in a shootout in front of police, one dead",Murder,91 Westview St.
8/22/19 - 11:35 pm,Man stabbed on Westville Street in Dorchester,Stabbing,208 Westville St.
8/12/19 - 6:30 pm,"Man who was arrested in March on gun charges is arrested again on gun charges, but this time while wearing an ankle bracelet, police say",Illegal gun possession,Columbia Rd. and Buttonwood St.
8/10/19 - 7:20 pm,Police say guy punched out elderly man who tried to calm him down after his pal wasn't allowed on a Mattapan trolley with a bicycle,Assault and battery,Buttler St. and Branchfield St.
8/8/19 - 5:39 pm,"Man with two loaded guns was driving stolen car near scene of double shooting in Dorchester, police say",Illegal gun possession,27 Ellington St.
8/7/19 - 9:50 pm,Two teens shot on Michigan Avenue in Dorchester,Shooting,41 Michigan Ave.
8/7/19 - 8:34 pm,Police: Teen was riding around Dorchester in car with loaded high-capacity gun - and two young kids not in car seats,Illegal gun possession,15 Jacob St.
8/6/19 - 1:30 am,Man shot in the head in Dorchester,Murder,46 Wildwood St.
8/4/19 - 8:50 pm,Person shot on Blue Hill Avenue at Harvard Street in Dorchester,Shooting,Blue Hill Ave. and Harvard St.
8/2/19 - 10:33 am,Two sought for armed home invasion in Roxbury,Armed home invasion,Rand St. and Julian St.
7/28/19 - 11:13 pm,"Two shot on Columbia Road in Dorchester, one dead",Murder,Columbia Rd. and Geneva Ave.
7/28/19 - 12:55 am,"Driver hits two on a scooter in Dorchester, drives off",Hit and run,Dunbar Avenue
7/27/19 - 5:30 pm,Traffic stop in Kosciuszko Circle ends with two arrested on gun charges,Illegal gun possession,Kosciuszko Circle
7/20/19 - 5:30 pm,Man stabbed behind Dorchester's giant pear; suspect arrested at nearby mall,Stabbing,695 Columbia Rd.
7/19/19 - 11:55 pm,"Two shot on Norfolk Street in Dorchester, then their ambulance crashes",Shooting,191 Norfolk St.
7/18/19 - 12:13 am,Shots fired across from Ashmont T stop,Gunfire,Bailey St. and Dorchester Ave.
7/14/19 - 11:37 pm,Man shot to death in Uphams Corner,Murder,Columbia Rd. and Dudley St.
7/7/19 - 4:30 pm,Man shot on Winston Road in Dorchester,Shooting,42 Winston Rd.
7/7/19 - 4:01 pm,Police say man stopped for busted brake light in Dorchester had two loaded guns in car,Illegal gun possession,158 Harvard St.
7/7/19 - 2:50 am,Three arrested in Attleboro after car is shot in Dorchester,Gunfire,Gallivan Blvd. and Washington St.
